typing.Literal[<no_default>],timestamp,value_type,value,timestamp_new
730,2023-02-04T12:28:38.644682+00:00,P2,3,2023-02-04 12:28:39+00:00
732,2023-02-04T12:31:18.502078+00:00,P2,2,2023-02-04 12:31:19+00:00
736,2023-02-04T12:33:59.192091+00:00,P2,3,2023-02-04 12:33:59+00:00
742,2023-02-04T12:36:39.478147+00:00,P2,3,2023-02-04 12:36:39+00:00
744,2023-02-04T12:39:18.911408+00:00,P2,2,2023-02-04 12:39:19+00:00
748,2023-02-04T12:41:59.679659+00:00,P2,4,2023-02-04 12:42:00+00:00
752,2023-02-04T12:44:39.767436+00:00,P2,2,2023-02-04 12:44:40+00:00
758,2023-02-04T12:47:19.459854+00:00,P2,3,2023-02-04 12:47:19+00:00
762,2023-02-04T12:49:59.562219+00:00,P2,3,2023-02-04 12:50:00+00:00
766,2023-02-04T12:52:39.790774+00:00,P2,3,2023-02-04 12:52:40+00:00
768,2023-02-04T12:55:19.556599+00:00,P2,2,2023-02-04 12:55:20+00:00
772,2023-02-04T12:58:00.224134+00:00,P2,2,2023-02-04 12:58:00+00:00
778,2023-02-04T13:00:40.717883+00:00,P2,3,2023-02-04 13:00:41+00:00
780,2023-02-04T13:03:20.160509+00:00,P2,2,2023-02-04 13:03:20+00:00
786,2023-02-04T13:06:00.600541+00:00,P2,3,2023-02-04 13:06:01+00:00
790,2023-02-04T13:08:40.729663+00:00,P2,2,2023-02-04 13:08:41+00:00
794,2023-02-04T13:11:21.339959+00:00,P2,3,2023-02-04 13:11:21+00:00
798,2023-02-04T13:14:01.188045+00:00,P2,3,2023-02-04 13:14:01+00:00
802,2023-02-04T13:16:40.999551+00:00,P2,2,2023-02-04 13:16:41+00:00
804,2023-02-04T13:19:21.083175+00:00,P2,3,2023-02-04 13:19:21+00:00
810,2023-02-04T13:22:01.665202+00:00,P2,3,2023-02-04 13:22:02+00:00
814,2023-02-04T13:24:41.461809+00:00,P2,2,2023-02-04 13:24:41+00:00
818,2023-02-04T13:27:21.647394+00:00,P2,2,2023-02-04 13:27:22+00:00
822,2023-02-04T13:30:03.150664+00:00,P2,3,2023-02-04 13:30:03+00:00
826,2023-02-04T13:32:42.709984+00:00,P2,2,2023-02-04 13:32:43+00:00
828,2023-02-04T13:35:22.018527+00:00,P2,5,2023-02-04 13:35:22+00:00
832,2023-02-04T13:38:02.489447+00:00,P2,3,2023-02-04 13:38:02+00:00
836,2023-02-04T13:40:42.350629+00:00,P2,3,2023-02-04 13:40:42+00:00
840,2023-02-04T13:43:22.486486+00:00,P2,3,2023-02-04 13:43:22+00:00
844,2023-02-04T13:46:03.001522+00:00,P2,2,2023-02-04 13:46:03+00:00
848,2023-02-04T13:48:42.421089+00:00,P2,3,2023-02-04 13:48:42+00:00
852,2023-02-04T13:51:22.982643+00:00,P2,3,2023-02-04 13:51:23+00:00
858,2023-02-04T13:54:03.009998+00:00,P2,3,2023-02-04 13:54:03+00:00
860,2023-02-04T13:56:43.731446+00:00,P2,2,2023-02-04 13:56:44+00:00
866,2023-02-04T13:59:23.428417+00:00,P2,3,2023-02-04 13:59:23+00:00
868,2023-02-04T14:02:03.677523+00:00,P2,4,2023-02-04 14:02:04+00:00
874,2023-02-04T14:04:43.801459+00:00,P2,3,2023-02-04 14:04:44+00:00
876,2023-02-04T14:07:24.570913+00:00,P2,3,2023-02-04 14:07:25+00:00
880,2023-02-04T14:10:04.021385+00:00,P2,3,2023-02-04 14:10:04+00:00
886,2023-02-04T14:12:44.314597+00:00,P2,3,2023-02-04 14:12:44+00:00
890,2023-02-04T14:15:24.632185+00:00,P2,3,2023-02-04 14:15:25+00:00
894,2023-02-04T14:18:04.570395+00:00,P2,3,2023-02-04 14:18:05+00:00
898,2023-02-04T14:20:44.961472+00:00,P2,3,2023-02-04 14:20:45+00:00
902,2023-02-04T14:23:24.928017+00:00,P2,2,2023-02-04 14:23:25+00:00
906,2023-02-04T14:26:05.223324+00:00,P2,2,2023-02-04 14:26:05+00:00
910,2023-02-04T14:28:45.120682+00:00,P2,2,2023-02-04 14:28:45+00:00
914,2023-02-04T14:31:25.434005+00:00,P2,3,2023-02-04 14:31:25+00:00
916,2023-02-04T14:34:05.741093+00:00,P2,3,2023-02-04 14:34:06+00:00
922,2023-02-04T14:36:45.294665+00:00,P2,3,2023-02-04 14:36:45+00:00
924,2023-02-04T14:39:25.668345+00:00,P2,2,2023-02-04 14:39:26+00:00
930,2023-02-04T14:42:06.017060+00:00,P2,3,2023-02-04 14:42:06+00:00
934,2023-02-04T14:44:46.115457+00:00,P2,5,2023-02-04 14:44:46+00:00
936,2023-02-04T14:47:26.296222+00:00,P2,4,2023-02-04 14:47:26+00:00
940,2023-02-04T14:50:06.465288+00:00,P2,3,2023-02-04 14:50:06+00:00
944,2023-02-04T14:52:46.475658+00:00,P2,3,2023-02-04 14:52:46+00:00
950,2023-02-04T14:55:26.512588+00:00,P2,3,2023-02-04 14:55:27+00:00
952,2023-02-04T14:58:06.870264+00:00,P2,2,2023-02-04 14:58:07+00:00
956,2023-02-04T15:00:47.619966+00:00,P2,3,2023-02-04 15:00:48+00:00
960,2023-02-04T15:03:26.958661+00:00,P2,2,2023-02-04 15:03:27+00:00
966,2023-02-04T15:06:07.384561+00:00,P2,2,2023-02-04 15:06:07+00:00
970,2023-02-04T15:08:47.518519+00:00,P2,1,2023-02-04 15:08:48+00:00
974,2023-02-04T15:11:27.622450+00:00,P2,3,2023-02-04 15:11:28+00:00
978,2023-02-04T15:14:07.564699+00:00,P2,2,2023-02-04 15:14:08+00:00
982,2023-02-04T15:16:48.050391+00:00,P2,3,2023-02-04 15:16:48+00:00
984,2023-02-04T15:19:27.631198+00:00,P2,3,2023-02-04 15:19:28+00:00
990,2023-02-04T15:22:08.008231+00:00,P2,3,2023-02-04 15:22:08+00:00
992,2023-02-04T15:24:48.301864+00:00,P2,2,2023-02-04 15:24:48+00:00
996,2023-02-04T15:27:27.962067+00:00,P2,2,2023-02-04 15:27:28+00:00
1000,2023-02-04T15:30:08.832817+00:00,P2,1,2023-02-04 15:30:09+00:00
1006,2023-02-04T15:32:49.103408+00:00,P2,2,2023-02-04 15:32:49+00:00
1010,2023-02-04T15:35:29.064308+00:00,P2,3,2023-02-04 15:35:29+00:00
1014,2023-02-04T15:38:08.969173+00:00,P2,4,2023-02-04 15:38:09+00:00
1016,2023-02-04T15:40:49.041285+00:00,P2,2,2023-02-04 15:40:49+00:00
1020,2023-02-04T15:43:29.448494+00:00,P2,2,2023-02-04 15:43:29+00:00
1024,2023-02-04T15:46:09.605463+00:00,P2,3,2023-02-04 15:46:10+00:00
