typing.Literal[<no_default>],timestamp,value_type,value,timestamp_new
938,2023-02-04T14:47:26.297869+00:00,humidity,35,2023-02-04 14:47:26+00:00
942,2023-02-04T14:50:06.466148+00:00,humidity,35,2023-02-04 14:50:06+00:00
946,2023-02-04T14:52:46.476913+00:00,humidity,35,2023-02-04 14:52:46+00:00
948,2023-02-04T14:55:26.509908+00:00,humidity,35,2023-02-04 14:55:27+00:00
954,2023-02-04T14:58:06.872144+00:00,humidity,35,2023-02-04 14:58:07+00:00
958,2023-02-04T15:00:47.621613+00:00,humidity,34,2023-02-04 15:00:48+00:00
962,2023-02-04T15:03:26.958701+00:00,humidity,34,2023-02-04 15:03:27+00:00
964,2023-02-04T15:06:07.384276+00:00,humidity,35,2023-02-04 15:06:07+00:00
968,2023-02-04T15:08:47.509410+00:00,humidity,34,2023-02-04 15:08:48+00:00
972,2023-02-04T15:11:27.622448+00:00,humidity,34,2023-02-04 15:11:28+00:00
976,2023-02-04T15:14:07.512576+00:00,humidity,34,2023-02-04 15:14:08+00:00
980,2023-02-04T15:16:48.050377+00:00,humidity,34,2023-02-04 15:16:48+00:00
986,2023-02-04T15:19:27.633050+00:00,humidity,34,2023-02-04 15:19:28+00:00
988,2023-02-04T15:22:08.008231+00:00,humidity,34,2023-02-04 15:22:08+00:00
994,2023-02-04T15:24:48.302802+00:00,humidity,35,2023-02-04 15:24:48+00:00
998,2023-02-04T15:27:27.962573+00:00,humidity,35,2023-02-04 15:27:28+00:00
1002,2023-02-04T15:30:08.833636+00:00,humidity,35,2023-02-04 15:30:09+00:00
1004,2023-02-04T15:32:49.102184+00:00,humidity,36,2023-02-04 15:32:49+00:00
1008,2023-02-04T15:35:29.064304+00:00,humidity,37,2023-02-04 15:35:29+00:00
1012,2023-02-04T15:38:08.968788+00:00,humidity,37,2023-02-04 15:38:09+00:00
1018,2023-02-04T15:40:49.042361+00:00,humidity,37,2023-02-04 15:40:49+00:00
1022,2023-02-04T15:43:30.323731+00:00,humidity,37,2023-02-04 15:43:30+00:00
1026,2023-02-04T15:46:09.606939+00:00,humidity,37,2023-02-04 15:46:10+00:00
1028,2023-02-04T15:48:49.637065+00:00,humidity,37,2023-02-04 15:48:50+00:00
1032,2023-02-04T15:51:29.616412+00:00,humidity,37,2023-02-04 15:51:30+00:00
1038,2023-02-04T15:54:09.827507+00:00,humidity,36,2023-02-04 15:54:10+00:00
1042,2023-02-04T15:56:50.132941+00:00,humidity,36,2023-02-04 15:56:50+00:00
1044,2023-02-04T15:59:30.612621+00:00,humidity,36,2023-02-04 15:59:31+00:00
1048,2023-02-04T16:02:10.773312+00:00,humidity,37,2023-02-04 16:02:11+00:00
1054,2023-02-04T16:04:50.844038+00:00,humidity,37,2023-02-04 16:04:51+00:00
1058,2023-02-04T16:07:30.950630+00:00,humidity,37,2023-02-04 16:07:31+00:00
1062,2023-02-04T16:10:10.881681+00:00,humidity,37,2023-02-04 16:10:11+00:00
1064,2023-02-04T16:12:51.189598+00:00,humidity,38,2023-02-04 16:12:51+00:00
1068,2023-02-04T16:15:31.136527+00:00,humidity,38,2023-02-04 16:15:31+00:00
1074,2023-02-04T16:18:11.148588+00:00,humidity,38,2023-02-04 16:18:11+00:00
1078,2023-02-04T16:20:51.294830+00:00,humidity,38,2023-02-04 16:20:51+00:00
